Macrotrends Data Download

Mexico Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,27600133,0
1951-12-31,28328015,2.64
1952-12-31,29061666,2.59
1953-12-31,29822095,2.62
1954-12-31,30616896,2.67
1955-12-31,31452141,2.73
1956-12-31,32325944,2.78
1957-12-31,33239529,2.83
1958-12-31,34180095,2.83
1959-12-31,35179431,2.92
1960-12-31,36268055,3.09
1961-12-31,37439317,3.23
1962-12-31,38683283,3.32
1963-12-31,39982118,3.36
1964-12-31,41333878,3.38
1965-12-31,42737991,3.4
1966-12-31,44180437,3.38
1967-12-31,45656963,3.34
1968-12-31,47170337,3.31
1969-12-31,48714394,3.27
1970-12-31,50289306,3.23
1971-12-31,51897675,3.2
1972-12-31,53543436,3.17
1973-12-31,55228203,3.15
1974-12-31,56945880,3.11
1975-12-31,58691882,3.07
1976-12-31,60452543,3
1977-12-31,62262505,2.99
1978-12-31,64123997,2.99
1979-12-31,65972912,2.88
1980-12-31,67705186,2.63
1981-12-31,69233769,2.26
1982-12-31,70656783,2.06
1983-12-31,72080310,2.01
1984-12-31,73489654,1.96
1985-12-31,74872006,1.88
1986-12-31,76224365,1.81
1987-12-31,77553504,1.74
1988-12-31,78892015,1.73
1989-12-31,80233749,1.7
1990-12-31,81720428,1.85
1991-12-31,83351595,2
1992-12-31,84993164,1.97
1993-12-31,86648447,1.95
1994-12-31,88314424,1.92
1995-12-31,89969572,1.87
1996-12-31,91586555,1.8
1997-12-31,93183094,1.74
1998-12-31,94767284,1.7
1999-12-31,96334810,1.65
2000-12-31,97873442,1.6
2001-12-31,99394288,1.55
2002-12-31,100917081,1.53
2003-12-31,102429341,1.5
2004-12-31,103945813,1.48
2005-12-31,105442402,1.44
2006-12-31,106886790,1.37
2007-12-31,108302973,1.32
2008-12-31,109684489,1.28
2009-12-31,111049428,1.24
2010-12-31,112532401,1.34
2011-12-31,114150481,1.44
2012-12-31,115755909,1.41
2013-12-31,117290686,1.33
2014-12-31,118755887,1.25
2015-12-31,120149897,1.17
2016-12-31,121519221,1.14
2017-12-31,122839258,1.09
2018-12-31,124013861,0.96
2019-12-31,125085311,0.86
2020-12-31,125998302,0.73
2021-12-31,126705138,0.56
2022-12-31,127504125,0.63
2023-12-31,128455567,0.75
2024-12-31,129388467,0.73
2025-12-31,130301391,0.71
2026-12-31,131194049,0.69
2027-12-31,132061171,0.66
2028-12-31,132903856,0.64
2029-12-31,133729252,0.62
2030-12-31,134534107,0.6
2031-12-31,135318243,0.58
2032-12-31,136081567,0.56
2033-12-31,136816372,0.54
2034-12-31,137523732,0.52
2035-12-31,138200922,0.49
2036-12-31,138844304,0.47
2037-12-31,139455296,0.44
2038-12-31,140028842,0.41
2039-12-31,140561518,0.38
2040-12-31,141055171,0.35
2041-12-31,141509850,0.32
2042-12-31,141925337,0.29
2043-12-31,142297951,0.26
2044-12-31,142627834,0.23
2045-12-31,142919109,0.2
2046-12-31,143170995,0.18
2047-12-31,143384384,0.15
2048-12-31,143553921,0.12
2049-12-31,143680430,0.09
2050-12-31,143772364,0.06
2051-12-31,143829565,0.04
2052-12-31,143851146,0.02
2053-12-31,143838271,-0.01
2054-12-31,143790285,-0.03
2055-12-31,143707815,-0.06
2056-12-31,143592165,-0.08
2057-12-31,143444751,-0.1
2058-12-31,143268063,-0.12
2059-12-31,143062103,-0.14
2060-12-31,142829443,-0.16
2061-12-31,142570035,-0.18
2062-12-31,142283240,-0.2
2063-12-31,141970427,-0.22
2064-12-31,141631994,-0.24
2065-12-31,141267883,-0.26
2066-12-31,140873501,-0.28
2067-12-31,140451701,-0.3
2068-12-31,140009110,-0.32
2069-12-31,139544556,-0.33
2070-12-31,139057466,-0.35
2071-12-31,138547019,-0.37
2072-12-31,138011411,-0.39
2073-12-31,137449619,-0.41
2074-12-31,136862193,-0.43
2075-12-31,136249318,-0.45
2076-12-31,135613066,-0.47
2077-12-31,134955184,-0.49
2078-12-31,134275685,-0.5
2079-12-31,133577054,-0.52
2080-12-31,132857423,-0.54
2081-12-31,132118123,-0.56
2082-12-31,131357991,-0.58
2083-12-31,130579334,-0.59
2084-12-31,129785762,-0.61
2085-12-31,128975916,-0.62
2086-12-31,128152098,-0.64
2087-12-31,127314659,-0.65
2088-12-31,126463825,-0.67
2089-12-31,125602252,-0.68
2090-12-31,124732071,-0.69
2091-12-31,123851566,-0.71
2092-12-31,122959540,-0.72
2093-12-31,122059083,-0.73
2094-12-31,121151664,-0.74
2095-12-31,120238779,-0.75
2096-12-31,119321955,-0.76
2097-12-31,118401972,-0.77
2098-12-31,117478120,-0.78
2099-12-31,116552208,-0.79
2100-12-31,115626629,-0.79
